GeneFusion	known	n	std1	std2	run	config	barcode	log_n	std_avg	log_std_avg	Identifier	isTrue
ETV6::RUNX1	True	22	62317	354964	Run1	fast	barcode09	1.3617278360175928	208640.5	5.319400696364811	ETV6::RUNX1_barcode09	False
RUNX1::RUNX1T1	True	11	40233	352011	Run1	fast	barcode09	1.0791812460476249	196122.0	5.292528527820525	RUNX1::RUNX1T1_barcode09	False
ABL1::BCR	True	3	19766	43151	Run1	fast	barcode09	0.6020599913279624	31458.5	4.497751815904351	ABL1::BCR_barcode09	False
EBF1::PDGFRB	True	3	7373	47926	Run1	fast	barcode09	0.6020599913279624	27649.5	4.441702988996147	EBF1::PDGFRB_barcode09	False
KMT2A::MLLT10	True	3	14307	34672	Run1	fast	barcode09	0.6020599913279624	24489.5	4.388997651805983	KMT2A::MLLT10_barcode09	False
KMT2A::MLLT3	True	2	36665	5923	Run1	fast	barcode09	0.47712125471966244	21294.0	4.328277644409767	KMT2A::MLLT3_barcode09	False
ETV6::RUNX1	True	14	63427	274204	Run1	fast	barcode10	1.1760912590556813	168815.5	5.2274148919860055	ETV6::RUNX1_barcode10	False
RUNX1::RUNX1T1	True	8	59823	463046	Run1	fast	barcode10	0.9542425094393249	261434.5	5.417364559554019	RUNX1::RUNX1T1_barcode10	False
CREBBP::KAT6A	True	2	19160	57270	Run1	fast	barcode10	0.47712125471966244	38215.0	4.582245228275298	CREBBP::KAT6A_barcode10	False
KMT2A::MLLT3	True	2	49910	38111	Run1	fast	barcode10	0.47712125471966244	44010.5	4.64356617044028	KMT2A::MLLT3_barcode10	False
PML::RARA	True	221	1275	1247	Run1	fast	barcode11	2.346352974450639	1261.0	3.1010593549081156	PML::RARA_barcode11	True
ETV6::RUNX1	True	36	75239	341690	Run1	fast	barcode11	1.568201724066995	208464.5	5.319034191686868	ETV6::RUNX1_barcode11	False
RUNX1::RUNX1T1	True	20	41334	324598	Run1	fast	barcode11	1.3222192947339193	182966.0	5.26237276726998	RUNX1::RUNX1T1_barcode11	False
CREBBP::KAT6A	True	4	42790	27287	Run1	fast	barcode11	0.6989700043360189	35038.5	4.544557900327372	CREBBP::KAT6A_barcode11	False
KMT2A::MLLT10	True	4	24778	34932	Run1	fast	barcode11	0.6989700043360189	29855.0	4.475031622066406	KMT2A::MLLT10_barcode11	False
ABL1::BCR	True	3	21801	9955	Run1	fast	barcode11	0.6020599913279624	15878.0	4.20082314871093	ABL1::BCR_barcode11	False
EBF1::PDGFRB	True	3	11303	43026	Run1	fast	barcode11	0.6020599913279624	27164.5	4.434017702936556	EBF1::PDGFRB_barcode11	False
KMT2A::MLLT3	True	2	1349	12045	Run1	fast	barcode11	0.47712125471966244	6697.0	3.8259451432038483	KMT2A::MLLT3_barcode11	False
RUNX1::RUNX1T1	True	183	22423	154642	Run1	fast	barcode12	2.2648178230095364	88532.5	4.947107633547991	RUNX1::RUNX1T1_barcode12	True
ETV6::RUNX1	True	32	70150	348419	Run1	fast	barcode12	1.5185139398778875	209284.5	5.320739140005526	ETV6::RUNX1_barcode12	False
